id|alimento|calorias|carbohidratos|proteinas|lipidos
1|maiz en mazorca crudo|346|64.66|8.57|3.8
2|maiz en mazorca hervido|120|21|3.4|1.5
3|cereales de desayuno con base de maiz|376|83|8|0.8
4|cereales de desayuno con base de maiz azucarados|374|87|4.5|0.6
5|cereales de desayuno con base de maiz, avena y trigo, dorados con miel|395|85|6|2.96
6|cereales de desayuno con base de trigo y miel|387|84|7|1.68
7|pan integral|221|38|7.02|2.9
8|pan integral tostado|265|44.5|10.8|2.9
9|pan de molde|272|49.9|7.77|3.8
10|pan de molde integral|259|44|10.9|3
11|pan tipo hamburguesa|271|47.5|7.54|4.7
12|medias noches|283|52.34|6.49|4.66
13|pan de centeno|230|45.8|6.21|1
14|pasta|359|70.9|12.78|1.58
15|pasta al huevo|374|69.9|12.35|4.2
16|bollo de leche|364|47|10|14.6
17|pasta de colores|353|70.6|13.14|1.04
18|pasta rellena de carne hervida|104|12.7|4.7|3.4
19|pasta rellena de queso hervida|151|16.3|9.5|5.1
20|galleta tipo maria|482|69|7.08|19
21|galleta integral|427|42.9|10|21.2
22|galleta doble rellena de chocolate|487|60.4|6.9|23.5
23|galleta cubierta de chocolate|491|60.4|6.92|24
24|galleta tipo cookie|478|64.3|6.2|21
25|galleta tipo digestive|469|62.98|6.3|20.3
26|galleta tipo digestive con chocolate|497|61.68|6.8|24.1
27|bizcocho|467|50.7|6.05|26.3
28|bizcocho de chocolate|459|47.16|7.4|26.4
29|bollo|443|50.8|6.6|23
30|bollo relleno de chocolate|416|47.3|9|20.7
31|churro|361|40|4.6|20
32|croisant|444|52.6|6.96|22.4
33|croisant de chocolate|362|49.3|5.6|15.2
34|bollo tipo donette|457|46|6.17|27.16
35|bollo tipo donut|400|42|6.1|22.4
36|bollo tipo donut de chocolate|483|43.51|5|31.69
37|ensaimada|444|46.52|7.5|25
38|magdalena|353|49.3|7.8|13.2
39|palmera|539|61|5|30
40|suizo|404|40.5|9.9|21.9
41|sobao|440|56.3|8.8|19.1
42|valenciana|441|55.85|5.12|20.94
43|agua corriente|0|0|0|0
44|agua con gas, embotellada|0|0|0|0
45|agua sin gas, embotellada|0|0|0|0
46|agua de mineralizacion debil|0|0|0|0
47|refresco sabor cola|43.4|10.85|0|0
48|refresco sabor cola bajo en calorias|0.4|0.1|0|0
49|refresco sabor cola sin cafeina|43|10.75|0|0
50|refresco sabor cola sin cafeina bajo en calorias|0.8|0.1|0.1|0
51|refresco sabor limon|45.6|11.4|0|0
52|refresco sabor naranja|42|10.5|0|0
53|refresco aroma lima0 limon|58.4|14.6|0|0
54|gaseosa|21.6|5.4|0|0
55|tonica|36.8|9.2|0|0
56|soda sifon|35.2|8.8|0|0
57|cafe en grano|315|6.7|13.5|13.1
58|cafe en polvo soluble|227|41.1|14.6|0.5
59|cafe descafeinado en polvo soluble|228|42.6|13.9|0.22
60|sucedaneo de cafe soluble|404|80.9|12.3|3.4
61|achicoria|19.7|2.44|0.5|0.6
62|te|220|3|19.6|2
63|bebida isotonica|28.4|7.1|0|0
64|zumo comercial de naranja|43.28|9.4|0.63|0.2
65|zumo de manzana|48.46|11.85|0.06|0.11
66|zumo de melocoton|47.1|10.5|0.63|0.22
67|zumo de piña|41.4|9.71|0.38|0.08
68|zumo de pomelo|43.62|10.1|0.53|0.1
